text,label
What culture developed the idea of potlatch ?,HUM
"Who was the accused in The Trial of the Century , which opened Janurary 1 , 1935 ?",HUM
Where does `` bovine '' come from ?,DESC
What was Simple Simon fishing for in his mother 's pail ?,ENTY
What was the name of Humphrey Bogart 's club in Casablanca ?,HUM
What are the alveoli ?,DESC
How can I get someone 's phone number if I only have their screen name ?,DESC
What two Caribbean countries share the island of Hispaniola ?,LOC
What kind of organization is ` Last Chance for Animals ' ?,HUM
What is the U.S. location of Procter & Gamble corporate offices ?,LOC
What 's the name of a hotel in Indianapolis ?,LOC
What is the Taj Majal made of ?,ENTY
Where can I find out the top 1 singles ?,LOC
What is Greek pita ?,DESC
What were the first three cities to have a population of more than a million ?,LOC
Name a product that controls the ripening of apples .,ENTY
"What President served for five years , six months and 2 days ?",HUM
What 's the name of Tom Sawyer 's aunt with whom he lives ?,HUM
What powdered soft drink mix went into space ?,ENTY
What is Franz Kafka 's short story `` A Country Doctor '' trying to tell us ?,DESC
When did French revolutionaries storm the Bastille ?,NUM
Where do the Grimace and Mayor McCheese live ?,LOC
What is a fear of crystals or glass ?,ENTY
What building built in 18 contains 327 miles of book shelves ?,LOC
What can you be fined for having a dog on a beach ?,NUM
How do I get a complete list of all the people that are living with the last name Kilvington ?,DESC
How do you get silly putty out of fabric ?,DESC
Where can I find a website that gives comparisons of good prices ?,LOC
The Shea & Gould law firm had an office in L.A. for how many years ?,NUM
What sprawling U.S. state boasts the most airports ?,LOC
What film was Jude Law in ?,ENTY
In what deodorant commercial did tenants have adjoining medicine cabinets ?,ENTY
Who discovered imaginary numbers ?,HUM
What is yohimbine ?,DESC
"Whom does Uncle Duke 's girl friend , Honey , room with ?",HUM
What species was Winnie the Pooh ?,ENTY
What company makes impulse hardening equipment ?,HUM
Which thrilled taste buds first - Snickers or 3 Musketeers ?,ENTY
When was Calypso music invented ?,NUM
How many people have died of tuberculosis ?,NUM
What is dextropropoxyphen napsylate ?,DESC
What did the Yalta Conference lead to ?,ENTY
What is the second hardest substance ?,ENTY
What country is the world 's largest importer of cognac ?,LOC
What Shakespearean play featured Shylock ?,ENTY
How many miles is it from NY to Austria ?,NUM
What is the only substance that gives food its `` taste '' when eaten ?,ENTY
What island is home to statues called Mauis ?,LOC
Who is Zebulon Pike ?,HUM
What function does homeostasis have on the existence of an organism ?,DESC
How many square feet is Bill Gates ' home ?,NUM
How many votes in Congress dissented from the 1941 declaration of war with Japan ?,NUM
What are snowballs to a hot-rodder ?,DESC
What color are the castellated walls of the Kremlin ?,ENTY
Where is Ocho Rios ?,LOC
Where did Bill Gates go to college ?,LOC
What 's nature 's purpose for tornadoes ?,DESC
What book is subtitled The Preservation of Favoured Races in the Struggle for Life ?,ENTY
What is the name of the medical condition in which a baby is born without a brain ?,ENTY
Name of heroine in `` Scruples '' ?,HUM
What country offered Albert Einstein its presidency in 1952 ?,LOC
What 's the only color Johnny Cash wears on stage ?,ENTY
How did the U.S. come into the possession of an empire in the wake of the Spanish-American War ?,DESC
Who shared a New York City apartment with Roger Maris the year he hit 61 home runs ?,HUM
How many innings are there in a regulation softball game ?,NUM
What is the oldest building in the United States ?,LOC
What is the fear of being loved ?,ENTY
What letter is to the right of K on a typewriter keyboard ?,ENTY
When did the Chernobyl nuclear accident occur ?,NUM
Where is Logan Airport ?,LOC
Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place ?,LOC
What was the business of the animated Sky Hawks ?,HUM
Who developed the first polio vaccine ?,HUM
How much does one ton of cement cost ?,NUM
What is the Jewish bible called ?,ENTY
In what year was Gandhi assassinated ?,NUM
What country boasts the most cars per mile of road ?,LOC
How do I know if I 'm jealous of someone ?,DESC
What American actress was the first to be called a `` vamp '' ?,HUM
Who is considered The First Lady of the American Stage ?,HUM
What is the name of the kids ' show from Canadian Public TV with the singing pineapple ?,ENTY
How many miles of veins are in the circulatory system ?,NUM
What TV family sometimes buys eclairs from Nelson 's Bakery ?,HUM
What major league baseball team compiled the best won-lost record between 1957 and 1983 ?,HUM
What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?,DESC
What are values ?,DESC
"In a computer , what does SCSI mean ?",ABBR
How many soldiers were involved in the last Panama invasion by the United States of America ?,NUM
What is the secret of the universe ?,DESC
What group kidnaped Patricia Hearst ?,HUM
What is the name of Kevin Costner 's movie about Sioux Indians ?,ENTY
What was the food of the Greek gods called ?,ENTY
What is the Kashmir issue ?,DESC
What is the feudal system ?,DESC
What did Abolitionists try to end ?,ENTY
What is the salary of a U.S. Representative ?,NUM
What soap was touted as being `` for people who like people '' ?,ENTY
What Louisiana Senator won a seat that had been held by his father and mother ?,HUM
Who was the first Holy Roman Emperor ?,HUM
What does the abbreviation IOC stand for ?,ABBR
Who is the head of the World Bank ?,HUM
What 's the name of Jacques Cousteau 's research ship ?,ENTY
What is the name of the disease that actress Hunter Tylo 's baby girl has ?,ENTY
What product did William Horlick discover and produce ?,ENTY
Whose video is titled Shape Up with Arnold ?,HUM
How is cologne made ?,DESC
What do manatees eat ?,ENTY
Who is Stein Eriksen ?,HUM
The second most popular sport worldwide is what ?,ENTY
What is the function of RAM ?,DESC
What is the name of the managing director of Apricot Computer ?,HUM
What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?,HUM
"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?",ENTY
What sea is Bombay on ?,LOC
What are super balls made of ?,ENTY
Where did surfing originate ?,LOC
What is a fear of worms ?,ENTY
What are Britain 's two longest rivers ?,LOC
What is Eagle 's syndrome styloid process ?,DESC
What are some translations of the phrase `` Thank-you '' ?,ENTY
Who was the first English circumnavigator of the globe ?,HUM
Where can an individual get a contact lens tested that burned the entire surface of eye when new ?,LOC
What country has the most coastline ?,LOC
What is the leading pecan and peanut growing state ?,LOC
What is the chemical reactivity of neon ?,NUM
Who was Jinnah ?,HUM
Why did the Shea & Gould law firm leave Los Angeles ?,DESC
What does a red flag mean in auto racing ?,DESC
How many people die of tuberculosis yearly ?,NUM
"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?",NUM
Who did Dita Beard work for ?,HUM
What was the worst hurricane ?,ENTY
Which of the Seven Dwarfs comes first alphabetically ?,HUM
"What does the Greek word polis mean , as in Minneapolis ?",DESC
What British female pop singing star of the 1960s and early 1970s was a child actress in the 1940s and '50s ?,HUM
How many types of cheese are there in France ?,NUM
What was the name of Captain Bligh 's ship ?,ENTY
What are the developmental stages of a swimmer ?,ENTY
What blood sport features a movement called a veronica ?,ENTY
What 's the name of a golf course in Myrtle Beach ?,ENTY
"What 's the name of the star of the cooking show , `` Galloping Gourmet '' ?",HUM
What 's the American dollar equivalent for 8 pounds in the U.K. ?,NUM
What is the origin of Boxing Day ?,DESC
What do a diamond and lump of coal have in common ?,DESC
What color is Mr. Spock 's blood ?,ENTY
What are the first and last letters of the Greek alphabet ?,ENTY
What is the world 's highest peak ?,LOC
Who asked you to do the Loco-Motion with her in 1962 ?,HUM
What songs were popular in 1948 ?,ENTY
What film featured a snarly character named Kid Shelleen ?,ENTY
Madonna advertises for what soft drink ?,ENTY
Rotary engines used to be made by whom ?,HUM
What does seccession mean ?,DESC
How many questions are on this thing ?,NUM
What is the history of yo-yos ?,DESC
Who portrayed The Cowardly Lion in The Wizard of Oz ?,HUM
Who has won the most Super Bowls ?,HUM
What did the Seven Dwarfs do for a living ?,HUM
What is Columbia Tristar 's phone number ?,NUM
What date is Richard Nixon 's birthday ?,NUM
Who was the girl in Peter Sellers 's soup ?,HUM
What doctor claimed in a 1946 book : `` There is no such thing as a bad boy '' ?,HUM
